subjectCode,classCode
MAT2411E CLCMTKHTT,"['MAT2411E 1CLCMTKHTT', 'MAT2411E 2CLCMTKHTT']"
MAT2502,"['MAT2502 1', 'MAT2502 2', 'MAT2502 7']"
MAT2502 CLCMTKHTT,"['MAT2502 3CLCMTKHTT', 'MAT2502 4CLCMTKHTT', 'MAT2502 5CLCMTKHTT', 'MAT2502 6CLCMTKHTT']"
MAT3101 TNT,['MAT3101 TNT']
MAT3300,"['MAT3300 1', 'MAT3300 2']"
MAT3300 TNT,['MAT3300 3TNT']
MAT3301,['MAT3301']
MAT3305,['MAT3305']
MAT3306,['MAT3306']
MAT3318 TNT,['MAT3318 2TNT']
MAT3322 TNT,['MAT3322 TNT']
MAT3340 TNT,['MAT3340 TNT']
MAT3344,"['MAT3344 1', 'MAT3344 2']"
MAT3344 TNT,['MAT3344 3TNT']
MAT3347,"['MAT3347 1', 'MAT3347 2']"
MAT3365,['MAT3365']
MAT3373,['MAT3373']
MAT3373E CLCMTKHTT,"['MAT3373E 1CLCMTKHTT', 'MAT3373E 2CLCMTKHTT']"
MAT3379,['MAT3379']
MAT3452,"['MAT3452 1', 'MAT3452 2']"
MAT3500,"['MAT3500 1', 'MAT3500 2']"
MAT3500 CLCMTKHTT,"['MAT3500 3CLCMTKHTT', 'MAT3500 4CLCMTKHTT']"
MAT3506,['MAT3506']
MAT3507,['MAT3507']
MAT3509,[]
MAT3514,"['MAT3514 1', 'MAT3514 2']"
MAT3517E CLCMTKHTT,"['MAT3517E 1CLCMTKHTT', 'MAT3517E 2CLCMTKHTT']"
MAT3525,['MAT3525']
MAT3533,['MAT3533']
MAT3533 CLCMTKHTT,"['MAT3533 2CLCMTKHTT', 'MAT3533 3CLCMTKHTT']"
MAT3535 CLCMTKHTT,['MAT3535 CLCMTKHTT']
MAT3539,"['MAT3539 1', 'MAT3539 2']"
MAT3551E CLCMTKHTT,"['MAT3551E 1CLCMTKHTT', 'MAT3551E 2CLCMTKHTT', 'MAT3551E 3CLCMTKHTT', 'MAT3551E 4CLCMTKHTT']"
MAT3554 CLCMTKHTT,[]
MAT3554E CLCMTKHTT,[]
MAT3562E CLCMTKHTT,"['MAT3562E 1CLCMTKHTT', 'MAT3562E 2CLCMTKHTT']"
MAT4072,['MAT4072']
MAT4073,['MAT4073']
MNS1052,['MNS1052']
PHI1002,"['PHI1002 1', 'PHI1002 10', 'PHI1002 11', 'PHI1002 12', 'PHI1002 2', 'PHI1002 3', 'PHI1002 4', 'PHI1002 5', 'PHI1002 6', 'PHI1002 7', 'PHI1002 8', 'PHI1002 9']"
PHY1012 TNL,['PHY1012 TNL']
PHY1013 TNL,['PHY1013 TNL']
PHY1020,"['PHY1020 1', 'PHY1020 2', 'PHY1020 3']"
PHY1020 CTĐB,['PHY1020 4CTĐB']
PHY1100,"['PHY1100 1', 'PHY1100 10', 'PHY1100 11', 'PHY1100 12', 'PHY1100 13', 'PHY1100 14', 'PHY1100 2', 'PHY1100 4', 'PHY1100 7', 'PHY1100 8', 'PHY1100 9']"
PHY1100E CLCCNKTMT,['PHY1100E CLCCNKTMT']
PHY1103,"['PHY1103 1', 'PHY1103 10', 'PHY1103 11', 'PHY1103 12', 'PHY1103 2', 'PHY1103 3', 'PHY1103 4', 'PHY1103 5', 'PHY1103 6', 'PHY1103 7']"
PHY1103 CLCCNH,"['PHY1103 16CLCCNH', 'PHY1103 17CLCCNH']"
PHY1103 CLCHD,"['PHY1103 18CLCHD', 'PHY1103 19CLCHD']"
PHY1103 CLCMTKHTT,"['PHY1103 13CLCMTKHTT', 'PHY1103 14CLCMTKHTT']"
PHY1103 QTS,['PHY1103 15QTS']
PHY1106 QTL,['PHY1106 QTL']
PHY1108,"['PHY1108 1', 'PHY1108 2', 'PHY1108 3', 'PHY1108 4', 'PHY1108 5', 'PHY1108 6', 'PHY1108 7']"
PHY1108 QTL,['PHY1108 8QTL']
PHY1113,"['PHY1113 1', 'PHY1113 2', 'PHY1113 3', 'PHY1113 4', 'PHY1113 5', 'PHY1113 6', 'PHY1113 7']"
PHY1113 TNL,['PHY1113 8TNL']
PHY1161 CTĐB,['PHY1161 1CTĐB']
PHY1161 TTH,['PHY1161 2TTH']
PHY2004,['PHY2004']
PHY2004 QTL,['PHY2004 2QTL']
PHY2064 TNL,['PHY2064 TNL']
PHY2064E QTL,['PHY2064E QTL']
PHY2206,"['PHY2206 1', 'PHY2206 2', 'PHY2206 3']"
PHY2302,"['PHY2302 1', 'PHY2302 2', 'PHY2302 3', 'PHY2302 4', 'PHY2302 5', 'PHY2302 6', 'PHY2302 7']"
PHY2302 TNL,['PHY2302 8TNL']
PHY2302E QTL,['PHY2302E QTL']
PHY2303 TNL,['PHY2303 TNL']
PHY2304,"['PHY2304 1', 'PHY2304 2', 'PHY2304 3', 'PHY2304 4', 'PHY2304 5', 'PHY2304 6', 'PHY2304 7']"
PHY2304E QTL,['PHY2304E QTL']
PHY2306,['PHY2306']
PHY2306E QTL,['PHY2306E QTL']
PHY2310,['PHY2310']
PHY2500,"['PHY2500 1', 'PHY2500 2', 'PHY2500 3']"
PHY2502,"['PHY2502 1', 'PHY2502 2']"
PHY3163,['PHY3163']
PHY3163 QTL,['PHY3163 2QTL']
PHY3167,"['PHY3167 1', 'PHY3167 2']"
PHY3301,"['PHY3301 1', 'PHY3301 2']"
PHY3302,['PHY3302']
PHY3303,[]
PHY3314,['PHY3314']
PHY3346 TNL,['PHY3346 TNL']
PHY3508,"['PHY3508 1', 'PHY3508 2', 'PHY3508 3']"
PHY3508 TNL,['PHY3508 4TNL']
PHY3508E QTL,['PHY3508E QTL']
PHY3605E QTL,['PHY3605E QTL']
PHY3606,['PHY3606']
PHY3606 TNL,['PHY3606 2TNL']
PHY3608,['PHY3608']
PHY3608 TNL,['PHY3608 2TNL']
PHY3608E QTL,['PHY3608E QTL']
PHY3609,"['PHY3609 1', 'PHY3609 2']"
PHY3624,"['PHY3624 1', 'PHY3624 2', 'PHY3624 3']"
POL1001,"['POL1001 1', 'POL1001 10', 'POL1001 11', 'POL1001 12', 'POL1001 2', 'POL1001 3', 'POL1001 4', 'POL1001 5', 'POL1001 6', 'POL1001 7', 'POL1001 8', 'POL1001 9']"
SMP1010,"['SMP1010 1', 'SMP1010 2', 'SMP1010 3']"
SMP1010 CLCRHM,['SMP1010 4CLCRHM']
SMP1012,"['SMP1012 1', 'SMP1012 2', 'SMP1012 3', 'SMP1012 4', 'SMP1012 5', 'SMP1012 6', 'SMP1012 7', 'SMP1012 8']"
SMP1055,"['SMP1055 1', 'SMP1055 3', 'SMP1055 4']"
SMP2052,"['SMP2052 1', 'SMP2052 2', 'SMP2052 3', 'SMP2052 4', 'SMP2052 5', 'SMP2052 6']"
SMP2053,"['SMP2053 1', 'SMP2053 2']"
SMP2054,"['SMP2054 1', 'SMP2054 2']"
SMP2401 CLCRHM,"['SMP2401 1CLCRHM', 'SMP2401 2CLCRHM', 'SMP2401 3CLCRHM']"
SMP2701,"['SMP2701 1', 'SMP2701 2']"
